age,year,sex,value
0.0,1816.0,male,0.000586451681281523
1.0,1816.0,male,0.00012778523823566
2.0,1816.0,male,9.39433982432014e-5
3.0,1816.0,male,6.33993547197765e-5
4.0,1816.0,male,4.40218108391192e-5
5.0,1816.0,male,3.73246753001345e-5
6.0,1816.0,male,3.18623956349938e-5
7.0,1816.0,male,2.71298449794092e-5
8.0,1816.0,male,2.29299897388016e-5
9.0,1816.0,male,1.94534078322177e-5
10.0,1816.0,male,1.64494457467676e-5
11.0,1816.0,male,1.42467982280133e-5
12.0,1816.0,male,1.27335053168384e-5
13.0,1816.0,male,1.21284222729258e-5
14.0,1816.0,male,1.24584509921341e-5
15.0,1816.0,male,1.35863493688139e-5
16.0,1816.0,male,1.53479004844309e-5
17.0,1816.0,male,1.76616576328033e-5
18.0,1816.0,male,2.05841920945324e-5
19.0,1816.0,male,2.42003188776846e-5
20.0,1816.0,male,2.81808161883038e-5
21.0,1816.0,male,3.16685048268552e-5
22.0,1816.0,male,3.4273327909442e-5
23.0,1816.0,male,3.53547801908832e-5
24.0,1816.0,male,3.47724066526819e-5
25.0,1816.0,male,3.31091645082003e-5
26.0,1816.0,male,3.07546330590709e-5
27.0,1816.0,male,2.85957843230858e-5
28.0,1816.0,male,2.7074541878842e-5
29.0,1816.0,male,2.60792770391922e-5
30.0,1816.0,male,2.58857953267519e-5
31.0,1816.0,male,2.58028787782349e-5
32.0,1816.0,male,2.61345600398953e-5
33.0,1816.0,male,2.65215723030653e-5
34.0,1816.0,male,2.69362890143865e-5
35.0,1816.0,male,2.72404545318519e-5
36.0,1816.0,male,2.77935693319626e-5
37.0,1816.0,male,2.84021247000224e-5
38.0,1816.0,male,2.91768453939423e-5
39.0,1816.0,male,3.0090190586224e-5
40.0,1816.0,male,3.11699915032488e-5
41.0,1816.0,male,3.25826817317532e-5
42.0,1816.0,male,3.43287766108006e-5
43.0,1816.0,male,3.62701889591516e-5
44.0,1816.0,male,3.85183998479718e-5
45.0,1816.0,male,4.11575448374142e-5
46.0,1816.0,male,4.35210433806309e-5
47.0,1816.0,male,4.55246629938583e-5
48.0,1816.0,male,4.77247672897606e-5
49.0,1816.0,male,5.00381753287382e-5
50.0,1816.0,male,5.23256321252157e-5
51.0,1816.0,male,5.47825916540657e-5
52.0,1816.0,male,5.73256321576164e-5
53.0,1816.0,male,5.97031351174921e-5
54.0,1816.0,male,6.199868438799e-5
55.0,1816.0,male,6.37356222501603e-5
56.0,1816.0,male,6.70444546238539e-5
57.0,1816.0,male,7.14249899746154e-5
58.0,1816.0,male,7.75301058254158e-5
59.0,1816.0,male,8.59363358484746e-5
60.0,1816.0,male,9.45101552861676e-5
61.0,1816.0,male,0.000104106137328843
62.0,1816.0,male,0.000112081021623422
63.0,1816.0,male,0.000118906579292401
64.0,1816.0,male,0.000124258969104246
65.0,1816.0,male,0.000126896075573118
66.0,1816.0,male,0.000133011315834995
67.0,1816.0,male,0.000142426162649116
68.0,1816.0,male,0.000155754316210525
69.0,1816.0,male,0.000173636442430217
70.0,1816.0,male,0.000193986274739011
71.0,1816.0,male,0.000216769436903794
72.0,1816.0,male,0.000239116270448323
73.0,1816.0,male,0.000261797628291078
74.0,1816.0,male,0.000281055722056359
75.0,1816.0,male,0.000297945891713505
76.0,1816.0,male,0.000316999708372673
77.0,1816.0,male,0.000341981986483488
78.0,1816.0,male,0.000374279252286047
79.0,1816.0,male,0.000380029632161939
80.0,1816.0,male,0.000453577363491207
81.0,1816.0,male,0.000501723485732799
82.0,1816.0,male,0.000549191809246079
83.0,1816.0,male,0.000592563942253409
84.0,1816.0,male,0.000623641047195517
85.0,1816.0,male,0.000630353954830111
86.0,1816.0,male,0.000625016712719364
87.0,1816.0,male,0.00061560722359748
88.0,1816.0,male,0.000606059141747785
89.0,1816.0,male,0.000609853853463556
90.0,1816.0,male,0.000647156566790465
91.0,1816.0,male,0.000691980717537782
92.0,1816.0,male,0.000738841619605061
