age,year,sex,value
0.0,1930.0,male,0.000442999388963638
1.0,1930.0,male,7.14530929492393e-5
2.0,1930.0,male,3.34140166052189e-5
3.0,1930.0,male,2.16326532241925e-5
4.0,1930.0,male,1.75789897709258e-5
5.0,1930.0,male,1.34762900462896e-5
6.0,1930.0,male,1.09186572095154e-5
7.0,1930.0,male,8.85778899421882e-6
8.0,1930.0,male,8.28102376800108e-6
9.0,1930.0,male,7.59455687996535e-6
10.0,1930.0,male,7.23766210643797e-6
11.0,1930.0,male,6.55145673353298e-6
12.0,1930.0,male,5.75567390262922e-6
13.0,1930.0,male,5.39901873620153e-6
14.0,1930.0,male,5.97517709968711e-6
15.0,1930.0,male,6.79847085569901e-6
16.0,1930.0,male,7.78675026006153e-6
17.0,1930.0,male,8.96766281419804e-6
18.0,1930.0,male,1.04239073459827e-5
19.0,1930.0,male,1.18259308900975e-5
20.0,1930.0,male,1.31461386213319e-5
21.0,1930.0,male,1.43568885285431e-5
22.0,1930.0,male,1.52653024528616e-5
23.0,1930.0,male,1.59261564872642e-5
24.0,1930.0,male,1.63668144773895e-5
25.0,1930.0,male,1.66147157674158e-5
26.0,1930.0,male,1.66973545189874e-5
27.0,1930.0,male,1.66422617407971e-5
28.0,1930.0,male,1.64769900574224e-5
29.0,1930.0,male,1.62566433307142e-5
30.0,1930.0,male,1.61464766170391e-5
31.0,1930.0,male,1.62566433307142e-5
32.0,1930.0,male,1.65871700711695e-5
33.0,1930.0,male,1.71656878981149e-5
34.0,1930.0,male,1.79372352007987e-5
35.0,1930.0,male,1.88744064627634e-5
36.0,1930.0,male,1.98118986220807e-5
37.0,1930.0,male,2.06117780336587e-5
38.0,1930.0,male,2.13015168586285e-5
39.0,1930.0,male,2.18534330528548e-5
40.0,1930.0,male,2.25710904742168e-5
41.0,1930.0,male,2.31784860229245e-5
42.0,1930.0,male,2.41174533565377e-5
43.0,1930.0,male,2.52501659510921e-5
44.0,1930.0,male,2.70468907474523e-5
45.0,1930.0,male,2.87617891889121e-5
46.0,1930.0,male,3.05054482351229e-5
47.0,1930.0,male,3.22502184483554e-5
